ClockTime(s)_UtilizationValuesFrom:	Vision_Module	Audio_Module	Perceptual_SubNetwork	Production_Module	Declarative_Module	Imaginary_Module	Cognitive_SubNetwork	Motor_Module	Speech_Module	Motor_SubNetwork	Overall_Utilization
0.5	0.16999999999999996	0.0	0.08499999999999998	0.34999999999999987	0.0	0.5650000000000002	0.305	0.0	0.0	0.0	0.12999999999999998
1.5	0.16999999999999993	0.0	0.08499999999999996	0.3500000000000003	0.0	0.5649999999999997	0.305	0.0	0.0	0.0	0.12999999999999998
2.5	0.2549999999999999	0.0	0.12749999999999995	0.4500000000000002	0.0	0.5499999999999998	0.3333333333333333	0.0	0.0	0.0	0.1536111111111111
3.5	0.17000000000000037	0.0	0.08500000000000019	0.34999999999999964	0.0	0.5650000000000004	0.305	0.0	0.0	0.0	0.13000000000000006
4.5	0.21499999999999986	0.0	0.10749999999999993	0.4449999999999994	0.0	0.5550000000000006	0.3333333333333333	0.0	0.0	0.0	0.1469444444444444
5.5	0.1349999999999998	0.0	0.0674999999999999	0.3150000000000013	0.0	0.5999999999999988	0.305	0.0	0.0	0.0	0.12416666666666663
6.5	0.2450000000000001	0.4500000000000002	0.34750000000000014	0.39000000000000057	0.0	0.45999999999999996	0.2833333333333335	0.0	0.0	0.0	0.21027777777777787
7.5	0.0	0.0	0.0	0.05000000000000071	0.8099999999999996	0.13999999999999968	0.3333333333333333	0.0	0.0	0.0	0.1111111111111111
8.5	0.0	0.3099999999999987	0.15499999999999936	0.20000000000000107	0.1899999999999995	0.1999999999999993	0.19666666666666663	0.0	0.0	0.0	0.117222222222222
9.5	0.0	0.5399999999999991	0.2699999999999996	0.05000000000000071	0.41000000000000014	0.0	0.15333333333333363	0.0	0.0	0.0	0.14111111111111108
10.5	0.0	0.10999999999999943	0.054999999999999716	0.15000000000000036	0.5899999999999999	0.0	0.24666666666666673	0.0	0.0	0.0	0.10055555555555547
11.5	0.0	0.7899999999999991	0.3949999999999996	0.10000000000000142	0.10999999999999943	0.0	0.07000000000000028	0.0	0.0	0.0	0.15499999999999994
12.5	0.0	0.0	0.0	0.10999999999999943	0.9000000000000004	0.0	0.3366666666666666	0.0	0.0	0.0	0.11222222222222221
13.5	0.0	0.29999999999999893	0.14999999999999947	0.09999999999999964	0.9900000000000002	0.0	0.3633333333333333	0.0	0.0	0.0	0.1711111111111109
14.5	0.0	0.8000000000000007	0.40000000000000036	0.08999999999999986	0.10999999999999943	0.0	0.06666666666666643	0.0	0.0	0.0	0.15555555555555559
15.5	0.0	0.35999999999999943	0.17999999999999972	0.049999999999998934	0.8900000000000006	0.0	0.3133333333333332	0.0	0.0	0.0	0.1644444444444443
16.5	0.0	0.7899999999999991	0.3949999999999996	0.05000000000000071	0.16000000000000014	0.0	0.07000000000000028	0.0	0.0	0.0	0.15499999999999994
17.5	0.0	0.3100000000000023	0.15500000000000114	0.14999999999999858	0.8399999999999999	0.0	0.32999999999999946	0.0	0.0	0.0	0.16166666666666688
18.5	0.0	0.5899999999999999	0.29499999999999993	0.05000000000000071	0.35999999999999943	0.0	0.13666666666666671	0.0	0.0	0.0	0.14388888888888887
19.5	0.0	0.0	0.0	0.14999999999999858	0.6400000000000006	0.0	0.26333333333333303	0.0	0.0	0.0	0.08777777777777768
20.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21.5	0.05699999999999861	0.0	0.028499999999999304	0.25	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.03727777777777754
22.5	0.11299999999999955	0.27199999999999847	0.192499999999999	0.4219999999999935	0.0	0.0	0.1406666666666645	0.15000000000000213	0.4000000000000057	0.2750000000000039	0.20272222222222247
23.5	0.08500000000000085	0.17799999999999017	0.1314999999999955	0.3279999999999923	0.0	0.12199999999999989	0.14999999999999739	0.15000000000000213	0.6000000000000085	0.37500000000000533	0.21883333333333274
24.5	0.08500000000000085	0.07199999999999918	0.07850000000000001	0.37199999999999633	0.0	0.47800000000000153	0.2833333333333326	0.15000000000000213	0.1999999999999993	0.1750000000000007	0.17894444444444443
25.5	0.16999999999999815	0.22800000000000153	0.19899999999999984	0.3279999999999994	0.0	0.5869999999999997	0.3049999999999997	0.0	0.0	0.0	0.16799999999999984
26.5	0.16999999999999815	0.0	0.08499999999999908	0.3500000000000014	0.0	0.5650000000000013	0.3050000000000009	0.0	0.0	0.0	0.12999999999999998
27.5	0.254999999999999	0.0	0.1274999999999995	0.4499999999999993	0.0	0.5500000000000007	0.3333333333333333	0.0	0.0	0.0	0.15361111111111095
28.5	0.1700000000000017	0.0	0.08500000000000085	0.3500000000000014	0.0	0.5649999999999977	0.3049999999999997	0.0	0.0	0.0	0.1300000000000002
29.5	0.25200000000000244	0.0	0.12600000000000122	0.6320000000000014	0.0	0.3329999999999984	0.3216666666666666	0.0	0.0	0.0	0.14922222222222262
30.5	0.08800000000000097	0.0	0.04400000000000048	0.2680000000000007	0.0	0.1999999999999993	0.156	0.532	0.0	0.266	0.15533333333333352
31.5	0.08500000000000085	0.0	0.042500000000000426	0.23199999999999932	0.0	0.1999999999999993	0.14399999999999955	0.5680000000000014	0.0	0.2840000000000007	0.15683333333333357
32.5	0.1670000000000016	0.23199999999999932	0.19950000000000045	0.3680000000000021	0.0	0.3999999999999986	0.2560000000000002	0.14999999999999858	0.20000000000000284	0.1750000000000007	0.21016666666666714
