Metric,Value
Overall_Mean,0.149735
Overall_Max,0.243667
Overall_Min,0.000000
Perceptual_Mean,0.113646
Perceptual_Max,0.400000
Perceptual_Min,0.000000
Cognitive_Mean,0.244588
Cognitive_Max,0.366667
Cognitive_Min,0.000000
Motor_Mean,0.090972
Motor_Max,0.500000
Motor_Min,0.000000
Vision_Peak,0.331000
Audio_Peak,0.800000
Production_Peak,0.765000
Declarative_Peak,0.985000
Imaginary_Peak,0.600000
Motor_Peak,1.000000
Speech_Peak,0.759000
Duration_s,71.000000
Num_Timepoints,72
