Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.051000,10.106000,0.650000,10.756000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.096000,21.640000,2000.040000,2021.680000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.959000,12.925000,0.920000,13.845000,0.903000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.685000,3.155000,0.180000,3.335000,0.951000
PAX SAFETY Switch,PAX SAFETY,0.052000,6.111000,0.320000,6.431000,0.000000
LANDING Light Switch,AS DESIRED,5.875000,1.853000,0.220000,2.073000,0.952000
ANTI-COLL Light Switch,ON,5.318000,2.904000,0.320000,3.224000,0.502000
EICAS,CHECKED,3.857000,0.000000,0.030000,0.030000,0.702000
Winds,CHECK,4.300000,0.000000,0.160000,0.160000,0.800000
Select Altitude,PRESET AS CLEARED,0.051000,0.000000,0.510000,0.510000,0.000000
