Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.053000,10.129000,0.680000,10.809000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.064000,21.644000,2000.640000,2022.284000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.994000,12.923000,0.190000,13.113000,0.902000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.694000,3.156000,0.150000,3.306000,0.955000
PAX SAFETY Switch,PAX SAFETY,0.053000,6.109000,0.370000,6.479000,0.000000
LANDING Light Switch,AS DESIRED,5.885000,1.852000,0.180000,2.032000,0.952000
ANTI-COLL Light Switch,ON,5.362000,2.906000,0.320000,3.226000,0.500000
EICAS,CHECKED,3.804000,0.000000,0.040000,0.040000,0.701000
Winds,CHECK,5.316000,0.000000,0.170000,0.170000,0.903000
Select Altitude,PRESET AS CLEARED,0.052000,0.000000,0.460000,0.460000,0.000000
